 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Jul/2023
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"Total"
"41 Paraná";38266347,46;55384670,52;53801318,85;52460306,69;54419620,71;57811688,48;58094241,83;56982774,90;57549082,26;57121887,41;53117936,61;63910909,46;64523066,04;60783727,39;65633573,31;64759375,78;65902215,41;66280753,00;69158603,32;68256573,41;65843824,73;66394412,26;66395558,19;67070814,17;65492818,75;62237724,45;70702537,78;70374693,61;72058180,69;71935547,82;72371869,39;74708055,69;72785908,90;72851750,47;75595725,52;74366096,98;75110313,47;72128616,95;73759982,82;76599030,33;75660652,68;77258175,98;80842051,59;80617519,85;75549674,67;77593673,00;76544478,19;77258303,28;76039530,59;72807882,01;77076883,24;76143545,10;83336990,84;80649521,02;81927587,90;84130063,75;78536950,50;83285621,69;81594702,93;76270832,45;79500038,93;75028184,23;80703730,00;87106955,67;87399406,72;86697435,96;87769698,09;88057167,22;90365634,46;88122492,89;87591159,75;82588891,73;83584617,32;85435762,12;83641160,75;85205955,97;90028735,19;87870952,45;90698407,25;93643329,76;93539983,04;93513605,52;90920897,47;85093676,96;86815580,94;84176293,14;91071048,29;90305345,86;92363932,23;93872517,26;95718229,92;98916070,85;95128845,06;96186825,16;96160859,00;96048736,40;93783253,43;93084827,52;100050041,15;98382855,34;104543901,52;103377082,72;108340437,09;106455448,92;107336203,74;104805099,88;102244280,05;102217981,44;101336658,86;100907457,85;108922320,46;108702876,03;111362259,15;110695749,67;116359245,54;117872309,11;111878379,52;115332028,47;114669021,47;115173908,32;118799559,86;110307818,83;116630188,99;120061032,48;121360733,68;122174618,88;124610255,04;127874482,35;123933024,51;125316844,05;125317336,68;117528767,93;122460918,04;119836506,38;123286810,02;120177202,18;126481772,97;125528571,51;125978907,59;126174536,45;126966338,94;131587683,74;127099316,24;117905826,73;122357489,56;127010218,52;117317015,92;94604541,30;107506194,76;96981983,22;109720663,59;129529222,48;122702263,26;129647873,97;126880362,87;121770500,75;123533532,58;133647939,67;141403584,63;156544580,57;166229876,58;179777273,75;183043114,14;178439461,79;165431984,74;156109720,25;148545550,71;135383784,89;135963539,82;127290629,37;136142150,88;133796827,91;142760156,85;132977819,52;139709260,81;142173914,39;144271711,16;145798083,67;129855130,82;151285152,55;138757580,77;136826141,14;148652955,93;141976265,12;151577724,83;146345424,47;149667490,81;18832178317,27
"42 Santa Catarina";16504913,45;25651429,11;26743524,89;27181488,26;26845308,18;29909762,04;30789135,84;31250854,33;30019676,93;31957603,59;25115484,86;30778152,01;35330776,38;29003233,40;34665661,11;33835731,44;35240482,92;34559792,10;37817434,39;37259106,98;37380382,93;35782563,69;37345105,77;33887220,81;35965111,20;30499828,80;35106629,49;38016215,79;36075962,56;36549557,80;37410644,46;39238540,97;38081890,14;38789877,44;39827583,98;38814557,50;36415863,91;36721508,61;37996132,34;38421644,32;42835662,88;41189032,41;41758217,71;41684481,18;40922878,17;43202127,53;42472572,09;39321146,15;40492256,09;37022044,67;41483655,71;39783026,17;43805455,91;44046279,27;44667604,83;47341536,84;43359745,80;45156146,64;41573779,33;39219651,32;42289935,80;40639211,68;43594853,16;48625178,22;48118188,70;47911889,44;50571448,43;48955584,63;50829444,52;51491068,29;51684328,02;48372507,22;47993678,86;47288897,03;49012952,27;48053559,67;51823540,54;52051111,63;54238795,01;58563755,12;57996386,57;55718596,57;52622351,52;50644413,58;51654807,12;49243372,32;50778038,59;53032690,60;52438940,12;55880868,36;58530304,50;56690587,83;57889887,42;55737338,22;53674531,44;54165006,62;51122044,59;51193907,71;53003389,12;55051999,99;58462423,06;57758960,80;56650625,57;59500073,33;57825717,51;57782700,40;54981230,42;50520420,22;56881263,74;49307356,23;57799235,23;53445103,28;60332325,13;58396222,86;57247011,50;60460918,42;56263507,69;56883543,13;55604043,98;54055792,10;53712418,95;51298668,32;58770698,10;60288827,83;60659252,20;62213666,20;61278050,72;62730906,87;61636890,45;63327187,97;59766664,18;55708713,29;58896965,31;57420491,79;58250110,95;61028085,60;64937709,40;63504945,54;66591656,76;68439538,79;67131286,74;67946962,52;62694674,96;62400948,72;60255326,83;63695794,11;61835940,53;51632371,91;55188294,77;57897436,61;61267297,89;65467585,93;71781494,82;69414431,71;68617316,44;70968697,28;72929775,60;75923295,76;85896914,99;88356325,96;89928178,52;101878034,46;104260881,92;110327764,02;93567559,26;91788933,47;86883453,52;85032036,25;76620062,64;75735835,54;74694328,90;71895120,75;75543719,83;73647159,32;81739749,45;82936930,31;80816423,65;82621646,43;81482465,89;81781615,96;80288636,32;80609735,72;82486419,06;81837177,12;86454129,92;87725735,58;87247724,40;10221056622,56
"43 Rio Grande do Sul";30931325,46;57363420,01;51547794,07;56673338,49;48397733,07;52413429,62;56636376,98;56113054,70;55356224,30;53637713,13;53699506,08;58730379,58;57629317,06;58779088,02;63366430,89;62200230,97;61683824,68;62495363,90;64614271,83;66457445,34;66425009,36;65782428,73;63714541,87;64488493,88;66304168,50;61527419,52;62490522,38;66814413,40;67900518,35;64799726,75;68518232,07;68731297,03;66174969,16;66891309,48;67456434,73;67096302,52;60754144,32;58884339,85;66205364,40;61549863,09;67005564,20;72791411,49;74300861,33;67837463,86;70064414,36;70232362,93;72554592,98;64881879,75;61611865,88;65535901,82;74336260,07;67549395,98;72179899,88;76773475,06;77774241,78;76499514,26;69764912,17;64839999,61;75459338,65;63899563,55;74162758,17;71198611,75;82497795,06;83507655,35;86819702,56;76192049,15;86985566,29;87188268,32;79988575,09;82136136,71;79836366,30;80089789,32;78857234,60;78537008,46;79394208,90;83278724,35;84494278,65;85828392,41;90610814,11;90068464,13;89050051,67;94005898,04;87733471,20;84122185,75;85079714,14;82133570,24;88517055,03;91301452,50;89895415,64;92114331,88;94943320,81;95063921,01;89867247,70;91025690,47;92841633,81;83952187,70;80130314,80;84811068,12;86491623,15;84052305,72;87840141,72;88088367,62;92470925,20;94272573,31;77466039,10;96934581,89;86678131,26;87399566,81;81109569,27;73212030,39;84033985,11;83238680,79;94756267,63;89585823,81;96174533,70;92176170,61;94228360,83;90655015,78;91242720,70;82934746,93;88817066,36;80572288,45;87419899,25;89396935,52;88148251,61;90754504,49;89093690,14;94010888,97;93664724,68;90025945,36;93081292,31;89050712,34;89664703,23;89259306,50;85585754,75;95152786,47;94163838,23;92237333,46;102298314,76;100260145,30;95917106,56;102331615,05;93971904,79;90775418,13;94908336,74;91437940,91;102876132,83;83000318,02;82381774,95;86092502,24;100579287,65;102609965,59;104401019,54;117458292,46;108853890,98;112066646,79;120185491,29;111745526,25;133998520,05;144160684,75;147200067,51;152125780,63;153146292,86;137561459,81;122944341,79;114705913,27;115171872,58;114402098,61;102764219,97;105941190,18;108320125,66;103645607,66;106122755,51;106598349,58;108717168,20;111840092,46;112562362,41;114516900,72;107815960,43;109417240,51;111659793,92;99589870,33;111407033,88;106927106,10;112341938,78;113729533,98;116842378,48;16040859992,27
"50 Mato Grosso do Sul";5377392,11;7002472,61;8423933,19;8797487,68;9770421,80;10905392,18;10249299,82;9671553,45;10218511,05;9547923,55;9450010,19;8365709,79;10033643,71;10746263,10;10849523,03;10902848,13;11991649,26;12050259,66;12174950,98;11178470,01;11997775,92;11686533,15;10756188,43;10565385,71;12148432,58;11270972,80;11947693,50;11435565,54;12392541,52;12441459,98;12025317,84;12353546,78;12381792,58;12340247,31;12467693,91;12356930,32;11209008,55;9656677,02;13698836,79;12737864,70;12738474,58;12633049,75;12559402,36;12129099,22;14361439,67;10874502,14;13069914,91;13389627,18;11336531,77;10651807,08;12180801,70;12317346,21;12443933,58;13265423,50;13279583,97;13662778,57;14377772,86;12470857,74;13313610,74;13277404,70;12946929,06;13608114,30;13164501,21;12609170,80;14260317,31;14093759,27;15857368,44;14902081,06;14293864,54;15002648,55;13966637,66;13671203,55;14178988,87;14712594,52;14301089,67;13935980,51;14947928,02;14031496,40;14515549,98;15589135,54;14778200,02;14569813,14;14350887,34;14176127,30;14477250,54;15581963,71;16405826,87;14378228,39;16953490,49;16142201,57;15744546,46;15744530,43;16350747,05;15201350,63;14596998,67;14838491,41;16245064,73;15790962,76;16038560,10;15782658,52;15833939,83;15634796,95;16131310,92;16658359,76;16115694,41;15532297,35;15444859,93;15768541,90;16010162,90;14833749,68;17139379,75;14983940,40;16984929,81;15676843,15;16956118,78;17043069,32;17477126,81;15488155,75;16596703,72;15353997,67;16320629,25;18448053,83;16620321,36;16682027,02;17555832,83;17357780,20;17090876,79;16468255,95;17395858,50;16259261,13;16390075,24;15350893,92;17108719,02;17713810,57;16882690,96;18253870,27;17778458,45;18387822,48;19870933,20;18913862,69;19591383,84;18935437,09;17230688,81;17895244,76;18115134,64;19542439,88;19032785,73;17410262,53;17913161,92;17363192,43;18858844,44;19877080,68;19247894,51;19050984,60;21189823,13;19782984,79;22018537,81;25326957,13;26273236,01;27778969,31;28963920,87;34526664,72;31984745,11;36713343,08;33140371,78;23996334,39;24343257,72;22003059,87;22022167,51;24128183,59;24661147,46;21750040,92;19048954,39;25846402,89;24641940,71;25443001,91;25387432,74;24437535,72;24198203,65;24267531,21;25183752,55;24508900,44;27007248,29;26833537,85;26973943,11;25933245,81;26441323,83;3057984050,46
"51 Mato Grosso";4795299,01;8684882,23;7886243,14;8794109,79;9231645,40;10221763,77;9163314,28;9243148,81;9052354,89;9677093,95;7150345,50;10421826,32;9939399,66;9332546,32;11965500,15;11185014,96;12058150,55;11635436,04;11698836,48;11823239,61;10810420,65;12130636,06;11574096,75;10726251,53;12364760,67;11382133,07;11947040,32;12233217,84;12656421,09;11263407,74;12795267,96;12805173,87;12171713,91;11961452,83;11777799,00;11142684,27;11709080,86;11149107,81;12381255,67;12391024,30;11574707,66;11449818,18;12067847,81;9872567,60;12340511,27;12154858,01;12738659,19;11617956,36;10194534,96;11052531,80;12697271,26;12825836,44;12437326,25;13819568,73;12861426,87;13387145,16;13107046,91;12085215,68;12762583,75;12387721,52;12315260,04;12145406,21;13140456,30;12884862,96;12872983,73;14087582,76;12649797,80;14132727,09;13040443,40;12555232,29;13696927,61;13233705,01;12201791,59;12981386,14;13290421,35;14139198,01;13625461,23;13885729,63;14604900,36;14816179,13;14011573,31;13164383,84;14562218,15;13413465,25;13106628,97;13769115,33;14166909,47;14411435,71;14599062,75;15156818,10;15407207,37;14798954,73;15115492,63;14543665,17;14619045,99;14220952,14;14767201,36;13712298,88;15442590,16;15108919,30;15651536,52;15809574,22;15578808,89;15684802,91;15561519,20;15505564,73;15319349,26;13805916,37;14035537,59;14149756,35;14898417,06;15584480,77;16651188,35;15509614,84;16372281,19;16231682,70;16044219,39;16146542,89;15487676,02;14770731,99;17253950,09;14789801,16;17498946,87;16279852,74;16103988,77;15883977,51;17163673,03;15569285,17;15630276,46;15838064,68;14815961,13;13853034,99;14229113,36;15288698,79;16045499,92;15890208,95;16092716,67;16699780,69;16314811,22;16763581,32;15608982,84;15855641,23;15823328,54;15032737,51;15259436,50;15066106,66;14906973,08;12563655,61;13632848,78;13215428,53;16834650,98;19706219,32;20747222,33;22728110,29;20693686,21;19977286,64;19481528,85;19065468,58;24295698,28;31098888,85;31974225,98;33338909,05;39215412,56;38962584,02;29287860,45;27910996,39;21575642,12;20342386,97;20836525,25;22478819,19;20637629,41;18591446,73;20391190,89;18615053,04;17717900,59;20291725,91;20601192,84;20767569,22;20468835,81;19827952,20;18157696,93;20210098,67;22345211,63;21270050,82;23248394,40;24047901,19;21576181,40;2852254341,75
"52 Goiás";15310637,29;22258668,68;21442515,75;20921212,45;21615970,67;18270043,87;20540517,13;20650730,67;20868443,56;20621423,04;17094580,10;21615561,61;20678552,05;23043942,78;23334312,45;23508108,16;23947606,91;24369848,15;24577126,64;24372626,65;25227845,74;24746686,90;24628958,50;25524615,37;23352380,22;23520045,07;25369725,89;24404417,42;24987745,86;24954391,09;25711601,13;27198788,35;26672124,45;24964871,71;25671135,81;25260713,05;25171493,79;26401745,02;29060487,72;28091235,29;27756627,95;26664943,44;27544806,74;28147924,49;28970133,86;27443813,46;27361622,62;26782158,86;25857705,64;27578209,83;28903148,15;27888374,86;28508546,81;27394379,04;27650146,73;27972257,24;27593380,91;28225393,95;30257205,98;28219065,48;28347476,37;28863363,94;29219827,84;33852630,83;33590436,00;31125044,03;32961849,49;32744899,52;32463384,15;31059400,38;33423742,17;31214051,41;31924189,81;30615412,46;30729287,20;32789081,22;34129465,73;32395305,79;34486077,69;34263783,33;33627178,19;37301012,99;34133359,61;34549582,84;33440841,45;31986974,73;37406713,51;36037996,49;35411348,70;35037055,28;35106632,53;34847805,40;35124339,71;34872130,96;37247032,35;33761371,02;32681231,32;33686063,72;36509450,01;34722699,39;33438193,46;36011750,29;32794483,12;37294503,40;34824730,59;32901169,30;32290017,80;33456689,43;32130522,23;32012206,14;34551884,35;36415181,79;36185213,95;35061574,61;34374096,65;35314254,06;35452231,80;34270824,00;34456384,52;34331316,98;32756500,63;29752825,71;35353238,97;33126994,54;33321916,56;35536937,30;35009953,87;33899286,36;33936535,21;34482719,13;33695646,06;36347762,27;35162665,51;33658226,73;36733253,84;36260374,54;38159986,89;37236918,46;37769227,09;37979735,24;37470767,39;37337272,34;35734855,79;34879373,70;35794874,64;35048141,29;34843938,16;30932236,73;34406945,17;36101619,85;40617188,84;46248805,85;44920822,38;45564156,75;43102040,72;44310605,97;46516938,86;44405057,98;58042547,89;63380067,96;60776098,70;64916492,41;72752320,44;72468238,27;67294965,98;58384780,12;43491612,40;44805748,59;45806062,07;41940070,89;42007056,59;41114838,46;42762295,36;37974022,41;46164287,76;44552064,21;44129768,47;43984705,53;43049856,52;43593723,70;45801484,89;43474436,64;47567661,60;45792220,26;49610594,14;43739353,00;50124046,97;6379857810,61
"53 Distrito Federal";4745919,19;7632480,67;9647203,26;11098732,99;12891719,72;12850125,67;12565646,74;13710857,89;13165106,20;15048607,23;11343166,62;14727561,06;12448821,12;10378991,59;13844384,56;13014468,49;15199322,19;15839446,00;14075642,84;15070287,19;14487053,32;14794759,93;13970147,70;12231919,68;14152357,41;12797956,47;14766108,89;14251503,37;13992321,87;13029712,13;13731431,47;14492891,90;13708967,72;13154297,48;14017191,90;13892860,69;13685193,15;12596227,92;13776613,55;16345138,08;16087910,83;13972734,93;14892283,19;13278491,41;13995426,70;15390923,50;13086852,04;13590252,81;14944337,60;14888269,73;15085751,32;15764896,19;15623435,15;15203425,01;16732021,78;15301810,45;13732745,93;14641131,30;14302872,91;13158172,40;13730031,45;16998661,27;16775306,73;15671887,83;17115118,36;14702150,22;16691669,00;17236499,61;15107266,26;14854365,16;14958687,90;13017400,37;15090216,44;14616475,96;15221939,61;13473947,21;16957865,71;16172537,49;16980186,15;18002789,25;15337916,23;15159510,18;14575006,32;13315735,02;12644597,01;12040195,19;15563562,72;16112136,23;15582635,39;15527125,83;16340464,89;15410729,64;15596456,16;12688880,22;15291317,52;14725799,59;14615505,46;13618348,62;17170356,14;17429303,96;18419489,00;18261439,85;15957484,01;18859728,02;14617687,82;15938065,89;17795635,56;17955606,46;17727684,85;17813104,88;18510105,96;16996973,92;15586295,88;14832061,10;15143253,69;16830062,39;18437945,84;18041562,15;18203173,03;17028868,46;17127571,95;18222787,66;20340897,78;20522181,19;20343407,23;21542121,59;22301468,16;23318726,05;20307075,79;18600258,14;16518323,98;13970506,60;20192152,35;18496333,16;22191795,70;18562231,92;20360779,48;20187082,38;22216154,63;23309181,24;17870194,68;17859596,85;19851940,18;18769437,77;22341629,09;20643441,06;22947163,99;21536505,16;19058243,91;22704335,27;25269773,34;26526196,39;20056592,11;20856249,30;20459325,27;22991567,76;23527050,29;22766952,62;31831917,45;38410115,30;31532816,86;30629361,48;29662716,67;27288766,94;28509985,96;26207429,15;25147458,57;22742916,21;24945761,01;24404092,99;26033330,63;25430770,37;25487401,11;23294545,34;25729397,43;30312743,67;27630817,49;28363820,55;26501499,19;24624644,72;25416870,43;24346232,16;31525131,65;27771530,46;27495227,73;28258576,00;29034177,33;3359160990,96
"Total";408424859,23;613174269,21;664043058,38;686662861,42;715803639,49;752181563,64;764990284,76;750608648,28;752962642,15;733019065,83;668217112,19;775967936,72;750048621,47;756580984,60;841883163,67;825105702,99;865829006,02;852678163,21;880502474,71;892842134,58;873464467,51;875334799,09;869113618,52;841535492,90;852122488,89;808077868,10;890979883,27;902232888,98;914272019,18;890961283,39;911969093,24;931719029,98;906417815,92;896468825,34;925035608,16;910497564,03;892847303,12;884086911,42;932602653,02;940522457,53;948998132,79;938678314,96;983107236,67;960806905,24;963424009,31;964910919,88;952446801,10;945980820,15;918113192,67;900866905,04;990762955,07;957617712,15;1005719346,28;992473295,33;1011576096,62;1019945214,97;981455178,00;988862272,07;971962883,27;916766270,30;970771875,05;951988831,08;1014947867,61;1068797389,90;1095601589,12;1055013842,13;1109874484,86;1114566231,49;1097138530,42;1114110815,42;1065389149,58;1040159311,04;1073036456,41;1045983018,53;1056226871,45;1075172529,69;1143780931,69;1105617906,86;1166470112,11;1174196840,39;1160045625,96;1166760502,20;1126670624,77;1076446205,60;1097304031,31;1062267532,26;1145818906,77;1142901983,63;1167506052,47;1175384991,29;1204103667,59;1191449093,15;1179032733,69;1160339646,43;1149862166,83;1112012036,42;1103036733,54;1100574210,05;1167279265,94;1157783805,43;1183773531,02;1206461941,50;1214170276,07;1231014106,95;1176283472,86;1171270060,83;1138321585,77;1151134487,98;1140451128,38;1096974376,81;1213219782,09;1162847473,86;1257999444,55;1211182758,87;1254024061,19;1267479837,22;1237137847,98;1250387855,02;1225045404,11;1201828188,24;1218528578,16;1160580637,71;1249570771,57;1265569345,19;1279917419,73;1272860439,09;1301522302,13;1316621937,02;1272529253,15;1295988511,56;1254250943,37;1218448068,38;1288274303,46;1226614760,98;1274394154,87;1300440623,42;1357406940,64;1308302989,52;1373192361,38;1379322215,44;1336776339,89;1381449232,32;1314031159,05;1275845411,92;1327814227,56;1286460084,94;1286247393,68;1108501187,29;1196161359,59;1288165867,89;1484649853,47;1515550437,66;1478983025,19;1483082631,21;1473173918,66;1456732360,17;1541725048,75;1555167786,91;1807199007,24;2039787062,05;2165517054,08;2257909652,62;2229133901,78;2067490720,10;1848026855,82;1683100390,28;1607153421,09;1571459090,52;1566393847,43;1573821584,18;1574262098,69;1530247371,18;1564150660,51;1505001168,35;1615279310,26;1656396157,49;1636599198,25;1641830716,94;1582773163,69;1628351019,02;1612341374,65;1515997755,01;1698558835,37;1618737435,27;1710919170,42;1706610495,69;1713046726,47;220825643874,84
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
